MOD:   CHAIN   MOVE      ACC      LPPD           LPPD0             LHNORM         LHNORM0  N  HPARAM
MOD:  1     10000    4                 0            637.07672119            629.07696533           3594.98120117           3594.98120117     1        2.72475
MOD:  1     20000    1                 0            851.54077148            557.09344482           3506.62036133           3628.18652344     1        2.74992
MOD:  1     30000    3                 0           3679.33374023            591.09899902           3611.77954102           3611.77954102     1        2.73748
MOD:  1     40000    5                 1            525.77935791            525.77935791           3644.98681641           3644.98681641     1        2.76265
MOD:  1     50000    3                 0          34944.37109375            562.20721436           3625.03857422           3625.03857422     1        2.74753
MOD:  1     60000    3                 0          23893.01562500            532.31054688           3641.14501953           3641.14501953     1        2.75974
MOD:  1     70000    3                 1            582.28088379            582.28088379           3616.21264648           3616.21264648     1        2.74084
MOD:  1     80000    5                 0            684.41009521            545.66583252           3634.28710938           3634.28710938     1        2.75454
MOD:  1     90000    3                 0           1138.15600586            536.27545166           3639.18359375           3639.18359375     1        2.75825
MOD:  1    100000    3                 0           1144.93676758            542.71112061           3636.99755859           3636.99755859     1        2.75659
MOD:  1    110000    3                 0          37529.85546875            559.36566162           3629.13403320           3629.13403320     1        2.75063
MOD:  1    120000    3                 0           8818.87695312            560.12524414           3626.03808594           3626.03808594     1        2.74829
MOD:  1    130000    1                 1            625.68566895            625.68566895           3595.88598633           3595.88598633     1        2.72543
MOD:  1    140000    3                 0            568.90667725            545.91528320           3633.70190430           3633.70190430     1        2.75410
MOD:  1    150000    4                 1            537.82696533            537.82696533           3638.31762695           3638.31762695     1        2.75759
MOD:  1    160000    1                 0            697.42120361            574.22296143           3563.23046875           3618.91772461     1        2.74289
MOD:  1    170000    4                 0            577.05096436            574.28771973           3618.80395508           3618.80395508     1        2.74280
MOD:  1    180000    2                 1            525.45202637            525.45202637           3644.22070312           3644.22070312     1        2.76207
MOD:  1    190000    5                 0          73828.70312500            563.61285400           3624.77954102           3624.77954102     1        2.74733
MOD:  1    200000    1                -1            516.22528076            516.22528076           3650.50317383           3650.50317383     1        2.76683
MOD:  1    210000    3                 0            613.19281006            580.48687744           3617.51733398           3617.51733398     1        2.74183
MOD:  1    220000    1                 1            591.91540527            591.91540527           3611.49853516           3611.49853516     1        2.73727
MOD:  1    230000    2                 1            606.67156982            606.67156982           3603.21997070           3603.21997070     1        2.73099
MOD:  1    240000    3                 1            574.00512695            574.00512695           3619.93408203           3619.93408203     1        2.74366
